Country code,Coverage subscore,Openness subscore,Overall score,Year
BEN,13.6,16.7,15.2,2017 Scores
BFA,31.2,28.3,29.7,2017 Scores
CPV,19.2,21.1,20.2,2017 Scores
CIV,18.7,27.4,23.3,2017 Scores
GMB,25.8,27.2,26.6,2017 Scores
GHA,37.2,32.0,34.5,2017 Scores
GIN,37.0,36.0,36.5,2017 Scores
GNB,21.6,33.2,27.7,2017 Scores
LBR,35.3,37.6,36.5,2017 Scores
MLI,34.5,37.9,36.3,2017 Scores
MRT,33.0,35.0,34.0,2017 Scores
NER,37.4,32.6,34.9,2017 Scores
NGA,43.1,33.1,37.9,2017 Scores
SEN,38.0,42.1,40.1,2017 Scores
SLE,32.7,33.0,32.9,2017 Scores
TGO,21.7,27.1,24.5,2017 Scores
AIA,10.5,11.6,11.1,2017 Scores
BHS,28.0,29.0,28.5,2017 Scores
CUB,41.1,29.8,35.2,2017 Scores
DOM,43.5,46.6,45.1,2017 Scores
HTI,13.5,12.4,12.9,2017 Scores
JAM,29.1,57.4,43.9,2017 Scores
LCA,22.7,17.3,19.7,2017 Scores
VCT,30.2,27.1,28.4,2017 Scores
TTO,20.2,35.7,28.3,2017 Scores
BLZ,34.4,35.3,34.9,2017 Scores
CRI,44.4,60.3,52.7,2017 Scores
SLV,34.3,36.1,35.2,2017 Scores
GTM,30.6,32.0,31.4,2017 Scores
HND,34.2,34.8,34.5,2017 Scores
MEX,56.3,84.6,71.1,2017 Scores
NIC,34.4,29.8,32.0,2017 Scores
PAN,39.0,36.3,37.6,2017 Scores
CAN,63.2,85.7,75.0,2017 Scores
USA,65.5,71.7,68.7,2017 Scores
ARG,38.5,36.7,37.5,2017 Scores
BOL,33.1,50.5,42.2,2017 Scores
BRA,41.4,38.4,39.8,2017 Scores
CHL,35.8,24.3,29.8,2017 Scores
COL,55.0,52.9,53.9,2017 Scores
ECU,48.1,61.9,55.3,2017 Scores
GUY,23.7,21.9,22.8,2017 Scores
PRY,40.9,31.1,35.8,2017 Scores
PER,52.7,59.5,56.3,2017 Scores
SUR,34.2,35.3,34.8,2017 Scores
URY,41.2,50.9,46.3,2017 Scores
VEN,32.2,30.2,31.2,2017 Scores
KAZ,62.7,42.9,52.3,2017 Scores
KGZ,52.9,43.6,48.1,2017 Scores
TJK,35.8,45.6,41.0,2017 Scores
TKM,13.2,18.2,15.8,2017 Scores
UZB,17.7,17.7,17.7,2017 Scores
KHM,20.9,28.7,25.0,2017 Scores
CHN,44.2,39.6,41.8,2017 Scores
HKG,54.3,60.0,57.5,2017 Scores
IDN,61.2,58.8,59.9,2017 Scores
JPN,55.7,57.3,56.5,2017 Scores
KOR,53.9,77.9,66.4,2017 Scores
LAO,23.0,22.7,22.8,2017 Scores
MAC,33.8,41.9,38.4,2017 Scores
MYS,40.4,49.3,45.1,2017 Scores
MNG,53.3,71.1,62.6,2017 Scores
MMR,32.2,46.1,39.5,2017 Scores
PHL,45.8,70.2,58.6,2017 Scores
SGP,55.0,70.6,63.8,2017 Scores
THA,38.8,28.4,33.4,2017 Scores
TLS,30.1,22.2,26.0,2017 Scores
VNM,30.7,41.2,36.2,2017 Scores
AFG,22.4,22.1,22.2,2017 Scores
BGD,38.8,35.7,37.2,2017 Scores
BTN,46.0,33.3,39.3,2017 Scores
IND,46.5,58.9,53.0,2017 Scores
IRN,40.3,30.3,35.1,2017 Scores
MDV,34.1,40.2,37.5,2017 Scores
NPL,35.1,32.2,33.6,2017 Scores
